Model,UseCase,Domain,F1,Rank,N_Models,Borda_Points
Claude,C-REG,Business,0.96,1.0,6,5.0
GPT,C-REG,Business,0.91,2.0,6,4.0
DeepSeek,C-REG,Business,0.9,3.5,6,2.5
Qwen,C-REG,Business,0.9,3.5,6,2.5
Grok,C-REG,Business,0.85,6.0,6,0.0
MiniMax,C-REG,Business,0.86,5.0,6,1.0
Claude,RestoSys,Business,0.92,1.0,6,5.0
GPT,RestoSys,Business,0.88,4.0,6,2.0
DeepSeek,RestoSys,Business,0.9,2.5,6,3.5
Qwen,RestoSys,Business,0.86,5.0,6,1.0
Grok,RestoSys,Business,0.85,6.0,6,0.0
MiniMax,RestoSys,Business,0.9,2.5,6,3.5
