Model,UseCase,Domain,F1,Rank,N_Models,Borda_Points
Claude,ALS,Realtime,0.94,1.0,6,5.0
GPT,ALS,Realtime,0.9,2.5,6,3.5
DeepSeek,ALS,Realtime,0.88,4.0,6,2.0
Qwen,ALS,Realtime,0.9,2.5,6,3.5
Grok,ALS,Realtime,0.85,5.0,6,1.0
MiniMax,ALS,Realtime,0.81,6.0,6,0.0
Claude,Rice-Cooker,Realtime,0.92,1.5,6,4.5
GPT,Rice-Cooker,Realtime,0.92,1.5,6,4.5
DeepSeek,Rice-Cooker,Realtime,0.87,4.0,6,2.0
Qwen,Rice-Cooker,Realtime,0.88,3.0,6,3.0
Grok,Rice-Cooker,Realtime,0.84,5.5,6,0.5
MiniMax,Rice-Cooker,Realtime,0.84,5.5,6,0.5
